eval_loss,eval_accuracy,eval_precision,eval_recall,eval_f1,eval_runtime,eval_samples_per_second,eval_steps_per_second,epoch,fold
0.318890243768692,0.9285714285714286,0.9270205600850763,0.9285714285714286,0.9271503610595615,91.2918,3.527,0.23,3.0,1
0.2607496678829193,0.9347826086956522,0.9339080459770116,0.9347826086956522,0.932652035516837,100.0296,3.219,0.21,3.0,2
0.2419319748878479,0.9034267912772586,0.9013537992290628,0.9034267912772586,0.9020858335361567,93.7807,3.423,0.224,3.0,3
0.2603106200695038,0.9221183800623053,0.92730605035901,0.9221183800623053,0.9237944965581816,70.5189,4.552,0.298,3.0,4
0.15054520964622498,0.9626168224299065,0.9622393961179008,0.9626168224299065,0.9622060424201753,99.6154,3.222,0.211,3.0,5
